doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,anchor_found,anchor_sentence
10.1038/s41524-024-01273-y,Towards_atom-level_understanding_of_metal_oxide_catalysts_fo.pdf,npj | computational materials,,,,,,,0.0,False,
10.1038/s41598-025-95130-7,Machine_learning_assisted_Co3O4NiO_popsicle_sticks-infused_e.pdf,Machine learning assisted Co3O4/,,Co3O4/,nickel foam,1 M KOH,237,10,1.0,True,"RHE), overpotential (237 mV at 10 mA cm−2) and Tafel slope of 62.1 mV dec−1."
10.1038/s41467-025-61367-z,Oxygen_evolution_reaction_on_IrO2110_is_governed_by_Walden-t.pdf,Article,,,carbon felt,,,,0.2,False,
10.1038/s41467-021-26025-0,Restructuring_highly_electron-deficient_metal-metal_oxides_f.pdf,ARTICLE,,,foil,0.5 M H2SO4,156,10,0.75,True,"Remarkably, IMO with an electron-deﬁcient metal surface (Irx+; x > 4) exhibit a low overpotential of only ~156 mV at 10 mA cm−2 and excellent durability in acidic media due to the high oxidation state of metal on MoO3."
10.1038/s41467-022-31468-0,RuO2electronic_structure_and_lattice_strain_dual_engineering.pdf,ARTICLE,,,glassy carbon,0.5 M H2SO4,156,10,0.75,True,We ﬁnd that the OER activity of the formed LixRuO2 solid solution phase increases with the nominal lithium concentration (x) and reaches a record low overpotential of 156 mV at 10 mA cm−2 in 0.5 M H2SO4 when x reaches 0.52.
10.1038/s41467-022-30838-y,Activated_chemical_bonds_in_nanoporous_and_amorphous_iridium.pdf,ARTICLE,,,carbon felt,,,,0.2,False,
,Designing_active_oxides_for_a_durable_oxygen_evolution_react.pdf,Skip to main content,,,,,,,0.0,False,
10.1038/s41467-023-40177-1,Synergy_of_dual-atom_catalysts_deviated_from_the_scaling_rel.pdf,Article,,,mesh,,250,10,0.65,True,"Moreover, P-doped FeNi@NC showed a low overpotential of 250 mV at a current density of 10 mA cm−2 47."
10.1038/s41524-024-01386-4,Developing_new_electrocatalysts_for_oxygen_evolution_reactio.pdf,npj | computational materials,,,glassy carbon,,,,0.2,False,
10.1038/s41467-025-56070-y,Time-resolved_spectroscopy_uncovers_deprotonation-induced_re.pdf,Article,,,glassy carbon,1 M KOH,235,10,0.75,True,"Subsequently, linear sweep voltammetry (LSV) measurements reveal that the Ni0.83Fe0.17 LDH, doped with 17 wt% Fe, exhibits notable OER activity, achieving an overpotential of 235 mV at a current density of 10 mA cm−2 (Fig."
